,title
88,Potential impact of climate change on the northern nemoral forest herb flora of Europe
89,Systematics and Biodiversity Mite (Acari; Arachnida) diversity of two native plants in fragments of a semideciduous seasonal forest in Brazil Mite (Acari; Arachnida) diversity of two native plants in fragments of a semideciduous seasonal forest in Brazil
90,
91,Ecosystem service and biodiversity trade-offs in two woody successions
92,Systematics and Biodiversity Is floristic quality assessment reliable in human- managed ecosystems? Is floristic quality assessment reliable in human-managed ecosystems?
93,"Elevational patterns of frog species richness and endemic richness in the Hengduan Mountains, China: geometric constraints, area and climate effects"
94,Population structure and genetic diversity of Rana dalmatina in the Iberian Peninsula
95,"Assessing the relationship between illegal hunting of ungulates, wild prey occurrence and livestock depredation rate by large carnivores"
96,Impacts of the invasive alga Sargassum muticum on ecosystem functioning and food web structure
97,Opinions of citizen scientists on open access to UK butterfly and moth occurrence data
98,"Roadside and riverside green -urban corridors in the city of Vantaa, Finland"
99,Comparing species-area relationships of native and exotic species
100,Aerial surveys using an Unmanned Aerial System (UAS): comparison of different methods for estimating the surface area of sampling strips
101,Journal of Natural History The pholcid spiders from Sri Lanka: redescription of Pholcus ceylonicus and description of a new genus (Araneae: Pholcidae) The pholcid spiders from Sri Lanka: redescription of Pholcus ceylonicus and description of a new genus (Araneae: Pholcidae)
102,Global land use intensity and the endangerment status of mammal species
103,"Himalayan medicinal plant diversity in an ecologically complex high altitude anthropogenic landscape, Dolpo, Nepal"
104,Wetlands serve as natural sources for improvement of stream ecosystem health in regions affected by acid deposition
105,"Deforestation Processes in the State of Quintana Roo, Mexico: The Role of Land Use and Community Forestry"
106,Can protected areas mitigate the impacts of climate change on bird&apos;s species and communities?
107,Is Adaptation to Climate Change Threatening Forest Biodiversity? A Comparative and Interdisciplinary Study Case of Two French Forests
108,A novel downscaling approach to predict plant invasions and improve local conservation actions
109,"Establishing the Itombwe Natural Reserve: science, participatory consultations and zoning"
110,Flow and stability of natural pest control services depend on complexity and crop rotation at the landscape scale
111,Phylogenetic and functional diversity area relationships in two temperate forests
112,Variance and Uncertainty in the Expected Number of Occurrences in Reserve Selection
113,"Inventory of Ferns and Lycophytes of the RPPN Pedra D&apos;Antas, Pernambuco state, northeastern Brazil"
114,Habitat conversion and galling insect richness in tropical rainforests under mining effect
115,Sustainable management of planted landscapes: lessons from Japan
116,"Benthic hydroids (Cnidaria, Hydrozoa) from the continental shelf and slope off Queen Mary Coast (East Antarctica)"
117,The influence of depth and season on the benthic communities of a Macrocystis pyrifera forest in the Falkland Islands
118,Quantifying multiple pressure interactions affecting populations of a recreationally and commercially important freshwater fish Funding information Priorities and Planning Section of MNRF&apos;s Climate
119,Trends and prospects for local knowledge in ecological and conservation research and monitoring
120,"Eukaryotic phylotypes in aquatic moss pillars inhabiting a freshwater lake in East Antarctica, based on 18S rRNA gene analysis"
121,Identification of priority areas for conservation in Argentina: quantitative biogeography insights from mygalomorph spiders (Araneae: Mygalomorphae)
122,Identifying correlates of success and failure of native freshwater fish reintroductions
123,Intermediate disturbance promotes termite functional diversity in intensively managed Vietnamese coffee agroecosystems
124,Genetic diversity of Enterolobium cyclocarpum in Colombian seasonally dry tropical forest: implications for conservation and restoration
125,High genetic diversity among fossorial lizard populations (Anniella pulchra) in a rapidly developing landscape (Central California)
126,"Associations of Benthic Macroinvertebrate Assemblages with Environmental Variables in the Upper Clear Creek Watershed, California"
127,Inter-and intra-genetic variation of four wild populations of Prosopis using rapd-pcr fingerprints
128,"Diversity and use of medicinal plants for soup making in traditional diets of the Hakka in West Fujian, China"
129,Nature Conservation -a new dimension in Open Access publishing bridging science and application
130,Systematics and Biodiversity Molecular systematics of the genus Sonora (Squamata: Colubridae) in central and western Mexico
131,How to improve urban greenspace for woodland birds: site and local-scale determinants of bird species richness
132,The impact of a utility corridor on terrestrial gastropod biodiversity
133,"Systematics and Biodiversity Point-diversity, a critical tool for assessing dynamics of guilds of scavenging ants (Hymenoptera: Formicidae): an example from a eucalypt woodland View supplementary material Point-diversity, a critical tool for assessing dynamics of guilds of scavenging ants (Hymenoptera: Formicidae): an example from a eucalypt woodland"
134,Invaders are not a random selection of species
135,Effects of intensified forestry on the landscape-scale extinction risk of dead wood dependent species
136,Endangered monoxenous trypanosomatid parasites: a lesson from island biogeography
137,Using decision science to evaluate global biodiversity indices
138,Conservation practitioners&apos; understanding of how to manage evolutionary processes
139,High conservation value forests for burn-associated saproxylic beetles: an approach for developing sustainable post-fire salvage logging in boreal forest
140,Effects of urban infrastructure on aquatic invertebrate diversity
141,Reducing nutrient availability and enhancing biotic resistance limits settlement and growth of the invasive Australian swamp stonecrop (Crassula helmsii)
142,Intraspecific trait variation in grassland plant communities along urban-rural gradients
143,Editor András Báldi
144,Drivers of taxonomic bias in conservation research: a global analysis of terrestrial mammals
145,Modelling the effect of habitat fragmentation on climate-driven migration of European forest understorey plants
146,Evaluation of Museum Collection Data for Use in Biodiversity Assessment
147,Forest and connectivity loss drive changes in movement behavior of bird species
148,Journal of Natural History Multi-scale patterns in the host specificity of plant- dwelling arthropods: the influence of host plant and temporal variation on species richness and assemblage composition of true bugs (Hemiptera)) Multi-scale patterns in the host specificity of plant-dwelling arthropods: the influence of host plant and temporal variation on species richness and assemblage composition of true bugs ( Multi-scale patterns in the host specificity of plant-dwelling arthropods: the influence of host plant and temporal variation on species richness and assemblage composition of true bugs (Hemiptera)
149,Effectiveness of Natura
150,Checklist of the vascular flora of the Sunda-Sahul Convergence Zone
151,Acoustic and camera surveys inform models of current and future vertebrate distributions in a changing desert ecosystem
152,GIS-based multicriteria evaluation and fuzzy sets to identify priority sites for marine protection
153,Scaling range sizes to threats for robust predictions of risks to biodiversity
154,Burning of Logged Sites to Protect Beetles in Managed Boreal Forests
155,Effects of pasture implantation on the termite (Isoptera) fauna in the Central Brazilian Savanna (Cerrado)
156,Analyzing mechanisms regulating diversity in rangelands through comparative studies: a case in the southwestern Pyrennees
157,"Fishes from the Jaru Biological Reserve, Machado River drainage, Madeira River basin, Rondônia State, northern Brazil"
158,Trends in gentoo penguin (Pygoscelis papua) breeding population size at Macquarie Island
159,Algal Community Composition from Kaolin Recovery Ponds Located in Middle Georgia
160,BIODIVERSITY RESEARCH Saproxylic beetle diversity in a managed boreal forest: importance of stand characteristics and forestry conservation measures Saproxylic beetle diversity in managed forests
161,"Analysis of cultivation of remaining forest fragments in the Moju River Basin, Legal Amazon, Pará"
162,Factors relating to regional and local success of exotic plant species in their new range
163,Demographic response to patch destruction in a spatially structured amphibian population
164,"Global invasion in progress: modeling the past, current and potential global distribution of the common myna"
165,Designing a Protected Area to Safeguard Imperiled Species from Urbanization
166,Role of domestic shipping in the introduction or secondary spread of nonindigenous species: biological invasions within the Laurentian Great Lakes
167,The importance of cultural knowledge and scale for analysing internet search data as a proxy for public interest toward the environment
168,Substrate mediated predator-prey interactions between invasive crayfish and indigenous and non-native amphipods
169,A Framework for Debate of Assisted Migration in an Era of Climate Change
170,Patch-Occupancy Modeling as a Method for Monitoring Changes in Forest Floristics: a Case Study in Southeastern Australia
171,A potential invasion route of Cactoblastis cactorum within the Caribbean region matches historical hurricane trajectories
172,"Geographic distribution of tree species occurring in the region of Manaus, Brazil: implications for regional diversity and conservation"
173,Checklist of bees (Hymenoptera: Apoidea) from small diversified vegetable farms in south-western Montana
174,"Factors associated with alien plant richness, cover and composition differ in tropical island forests"
175,Sampling the Central Channel Provides Additional Information on Fish Assemblages in a Large Boatable River in the U.S. Midwest
176,Identifying high-quality pond habitats for Odonata in lowland England: implications for agri-environment schemes
177,Checklist of bees (Apoidea) from a private conservation property in west-central Montana
178,"Mediterranean marine protected areas have higher biodiversity via increased evenness, not abundance"
179,"Alien aquatic plants in Slovakia over 130 years: historical overview, current distribution and future perspectives Advancing research on alien species and biological invasions"
180,
181,"A preliminary overview of the Brazilian Apioninae (Coleoptera: Brentidae) with an illustrated key for genera, and a checklist with distribution information"
182,"Systematics and Biodiversity Cyanobacteria in aquatic ecosystems in Serbia: effects on water quality, human health and biodiversity Perspective Cyanobacteria in aquatic ecosystems in Serbia: effects on water quality, human health and biodiversity"
183,Introgression from non-native species unveils a hidden threat to the migratory Neotropical fish Prochilodus hartii
184,Biodiversity and functioning of polychaetes in benthic sediments
185,Barriers to forest regeneration of deforested and abandoned land in Panama
186,The &apos;Facilitator&apos;: Proposing a New Mechanism to Strengthen the Equitable and Sustainable Use of Biodiversity
187,Collecting and Preserving Marine and Freshwater Isopoda (Crustacea: Peracarida)
188,Rapid shifts in the chemical composition of aspen forests: an introduced herbivore as an agent of natural selection
189,Biogeography and conservation of freshwater mussels (Bivalvia: Unionidae) in Texas: patterns of diversity and threats
190,Incorporating spatial population structure in gap analysis reveals inequitable assessments of species protection
191,"Urban landscape matrix affects avian diversity in remnant vegetation fragments: Evidence from the Phoenix metropolitan region, USA"
192,"Use and knowledge of plants by &apos;&apos;Quilombolas&apos;&apos; as subsidies for conservation efforts in an area of Atlantic Forest in Espírito Santo State, Brazil"
193,"Comparison of the Ground Vegetation in Spruce Plantations and Natural Forest in the Greater Fundy Ecosystem, New Brunswick"
194,Habitat preferences of breeding Yellow Buntings Emberiza sulphurata in hilly rural areas following rice field abandonment in northern Japan
195,Biodiversity loss along a gradient of deforestation in Amazonian agricultural landscapes
196,Effects of Connectivity and Spatial Resolution of Analyses on Conservation Prioritization across Large Extents
197,"Determinants of palm species distributions across Africa: the relative roles of climate, non-climatic environmental factors, and spatial constraints"
198,Population trends of Rosalia alpina (L.) in Switzerland: a lasting turnaround?
199,Variability in 20th century climate change reconstructions and its consequences for predicting geographic responses of California mammals J U A N L . PA R R A and W I L L I A M B . M O N A H A N
200,MUSGOS Y RESTAURACIÓN ECOLÓGICA REVISTA CHILENA DE HISTORIA NATURAL
201,Contrasting effects of phylogenetic relatedness on plant invader success in experimental grassland communities
202,Distinguishing between Invasions and Habitat Changes as Drivers of Diversity Loss among California&apos;s Freshwater Fishes
203,BIODIVERSITY VIEWPOINT Large-scale plant conservation in European semi-natural grasslands: a population genetic perspective Plant conservation in Europe
204,Using a choice experiment and birder preferences to guide bird-conservation funding
205,Parapatric species and the implications for climate change studies: a case study on hares in Europe
206,"Land-use history, historical connectivity, and land management interact to determine longleaf pine woodland understory richness and composition"
207,"BIODIVERSITY RESEARCH Reconstructing community relationships: the impact of sampling error, ordination approach, and gradient length"
208,An Index of Risk as a Measure of Biodiversity Conservation Achieved through Land Reform
209,"Linking ecodevelopment and biodiversity conservation at the Great Himalayan National Park, India: lessons learned"
210,Predicting Plant Extinction Based on Species-Area Curves in Prairie Fragments with High Beta Richness
211,"Environmental Conservation Plague, pumas and potential zoonotic exposure in the Greater Yellowstone Ecosystem"
212,Large beech (Fagus sylvatica) trees as &apos;lifeboats&apos; for lichen diversity in central European forests
213,Why should we reconsider using species richness in spatial conservation prioritization?
214,Historical and contemporary determinants of global phylogenetic structure in tropical reef fish faunas
215,Inclusion of costs in conservation planning depends on limited datasets and hopeful assumptions
216,The in¯uence of the Benguela upwelling system on Namibia&apos;s marine biodiversity
217,Identifying practical indicators of biodiversity for stand-level management of plantation forests
218,INVASION NOTE
219,Terrestrial Reserve Networks Do Not Adequately Represent Aquatic Ecosystems
220,Uncertainty and the design of in-situ biodiversity-monitoring programs Uncertainty and the design of in-situ biodiversity-monitoring programs Launched to accelerate biodiversity conservation
221,Vital sites and actions: an integrated framework for prioritizing conservation actions and reporting achievement
222,"Paleoclimatic distribution and phylogeography of Mussismilia braziliensis (Anthozoa, Scleractinia), an endemic Brazilian reef coral"
223,The threatened status of groupers (Epinephelinae)
224,Food preferences determine habitat selection at multiple scales: implication for bird conservation in tropical forests
225,The use of DNA barcoding as a tool for the conservation biogeography of subtropical forests in China
226,The socio-economic impact of conservation: the Safe Islands for Seabirds LIFE project
227,
228,
229,High spatial variation in terrestrial arthropod species diversity and composition near the Greenland ice cap
230,Hotspots of endemic terrestrial invertebrates in southern Greece
231,Ecography The effect of fragment area on site-level biodiversity
232,Plant community responses to nitrogen addition and increased precipitation: the importance of water availability and species traits
233,"Individual species -area relationships and spatial patterns of species diversity in a Great Basin, semi-arid shrubland"
234,"Human Migration, Protected Areas, and Conservation Outreach in Tanzania"
235,Models to predict the distribution and abundance of breeding ducks in Canada
236,Estimating colonization potential of migrant tree species
237,Invasive biota in the deep-sea Mediterranean: an emerging issue in marine conservation and management
238,Are water beetles good indicators of biodiversity in Mediterranean aquatic ecosystems? The case of the Segura river basin (SE Spain)
239,An integrated approach for landscape contrast analysis with particular consideration An integrated approach for landscape contrast analysis with particular consideration of small habitats and ecotones Launched to accelerate biodiversity conservation A peer-reviewed open-access journal
240,Herbivore accumulation on invasive alien plants increases the distribution range of generalist herbivorous insects and supports proliferation of non-native insect pests
241,"Delineating geographic boundaries of the woolly mouse opossums, Micoureus demerarae and Micoureus paraguayanus (Didelphimorphia: Didelphidae)"
242,The Zoological Society of London
243,Patterns of herbivore species richness in Kenya and current ecoclimatic stability
244,Post-fire succession of small mammals in the Cerrado of central Brazil
245,Urban areas and isolated remnants of natural habitats: an action proposal for botanical gardens
246,Is enhanced tourism a reasonable expectation for transboundary conservation? An evaluation of the Kgalagadi Transfrontier Park
247,The effect of grazing on biodiversity in coastal dune heathlands
248,Movement and population size of two dung beetle species in an Andean agricultural landscape dominated by sun-grown coffee
249,Field-Testing Ecological and Economic Benefits of Coffee Certification Programs
250,How much would it cost to monitor farmland biodiversity in Europe?
251,Impact of landscape and corridor design on primates in a large-scale industrial tropical plantation landscape
252,Long-term Biomonitoring of Alpine Waters in the Swiss National Park
253,Automated assembly of a reference taxonomy for phylogenetic data synthesis
254,Scenario-modelling for the sustainable management of non-timber forest products in tropical ecosystems
255,Scenario-based assessment of future land use change on butterXy species distributions · Explanatory model · GLM · PCA · Predictive model · Scenario · Species distribution model (SDM)
256,Herpetofauna inside and outside from a natural protected area: the case of Reserva Estatal de la-D800-4C1A-9857-66E400A255BD
257,Assembly processes of waterbird communities across subsidence wetlands in China: A functional and phylogenetic approach
258,Temporal variation in peracarid assemblages inhabiting Caulerpa racemosa in two Brazilian rocky shores
259,Bat diversity in the lowland forests of the Heart of Borneo
260,Urban domestic gardens (II): experimental tests of methods for increasing biodiversity
261,"New findings of Hexalona-branch representatives in Brazil, with a description of Prenda gen"
262,Niche-based modelling as a tool for predicting the risk of alien plant invasions at a global scale Global Change Biology (
263,Satellite imagery as a single source of predictor variables for habitat suitability modelling: how Landsat can inform the conservation of a critically endangered lemur
264,Lichen species richness is highest in non-intensively used grasslands promoting suitable microhabitats and low vascular plant competition
265,River-specific effects of the invasive amphipod Dikerogammarus villosus (Crustacea: Amphipoda) on benthic communities
266,Bellwether of the Canaries: anthropogenic effects on the land snail fauna of the Canary Islands
267,Potential impact of invasive alien species on ecosystem services provided by a tropical forested ecosystem: a case study from Montserrat
268,The effects of landscape history and time-lags on plant invasion in Mediterranean coastal habitats
269,A multi-compartmented glacial refugium in the northern Rocky Mountains: Evidence from the phylogeography of Cardamine constancei (Brassicaceae)
270,"Electric crows: powerlines, climate change and the emergence of a native invader"
271,Exotic Pinus radiata Plantations do not Increase Andes Hantavirus Prevalence in Rodents
272,Revista Mexicana de Biodiversidad On two species of Ichthyouris (Nematoda: Pharyngodonidae) parasites of Mesonauta festivus (Pisces: Cichlidae) in the Brazilian Amazon region
273,"Long-term spatio-temporal dynamics of a hedgerow network landscape in Flanders, Belgium"
274,Potential impact of invasive amphipods on leaf litter recycling in aquatic ecosystems
275,Can Saturniidae moths be bioindicators? Spatial and temporal distribution in the Brazilian savannah
276,"Accelerating the knowledge of Peruvian Chalcididae (Insecta, Hymenoptera, Chalcidoidea) with integrative taxonomy"
277,A Bioacoustic Record of a Conservancy in the Mount Kenya Ecosystem
278,Exotic animal cafes are increasingly home to threatened biodiversity
279,Biodiversidata: An Open-Access Biodiversity Database for Uruguay
280,Advancing the case for microbial conservation
281,
282,"Tropical Deforestation and Carbon Emissions from Protected Area Downgrading, Downsizing, and Degazettement (PADDD)"
283,The role of livestock intensification and landscape structure in maintaining tropical biodiversity
284,"Citation: Müller A, Maes J (2015) Arguments for biodiversity conservation in Natura 2000 sites: An analysis based on LIFE projects"
285,Measurements of sublethal effects on individual organisms indicate community-level impacts of pollution
286,"Control history, longitude and multiple abiotic and biotic variables predict the abundances of invasive brushtail possums in New Zealand forests"
287,Environmental Conservation The conservation value of forest fragments in the increasingly agrarian landscape of Sumatra
288,"Plant agro-biodiversity needs protection, study and promotion: results of research conducted in Lombardy region (Northern Italy)"
289,Resource availability and habitat use by mantled howling monkeys in a Nicaraguan coffee plantation: can agroforests serve as core habitat for a forest mammal?
290,Environmental Conservation Biogeographically significant units in conservation: a new integrative concept for conserving ecological and evolutionary processes
291,Effect of biodiversity on economic benefits from communal lands in Namibia
292,
293,Understanding the biodiversity consequences of habitat change: the value of secondary and plantation forests for neotropical dung beetles
294,Conservation Practice and Policy Wildlife Connectivity Approaches and Best Practices in U.S. State Wildlife Action Plans
295,
296,The diversity of seaweeds on maerl in the NE Atlantic
297,Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses
298,"Predicting the future of species diversity: macroecological theory, climate change, and direct tests of alternative forecasting methods"
299,Plant species richness and environmental heterogeneity in a mountain landscape: effects of variability and spatial configuration
300,"Scarabaeidae: Scarabaeinae), in threatened eastern Afrotropical forests"
301,"BIODIVERSITY RESEARCH Climatic seasonality, resource bottlenecks, and abundance of rainforest birds: implications for global climate change"
302,"inventory Floristic composition of the Montane Forest in the Almadina--Barro Preto axis, Southern Bahia, Brazil"
303,"inventory Ichthyofauna of the hydrographic basin of the Chasqueiro Stream (Mirim Lagoon system, southern Brazil): generating subsidies for conservation and management"
304,"Pollinator conservation at the local scale: flower density, diversity and community structure increase flower visiting insect activity to mixed floral stands"
305,What makes a species a priority for nature conservation?
306,Ten challenges for 2010 and beyond to conserve Lepidoptera in Europe
307,Assessing harmony in distribution patterns of plant invasions: a case study of two invasive alien species in India
308,Relationship between rural depopulation and puma-human conflict in the high Andes of Chile
309,Unpacking the mechanisms captured by a correlative species distribution model to improve predictions of climate refugia
310,Multi-scale patterns of moss and lichen richness on the Antarctic Peninsula
311,"The invasive Australian redback spider, Latrodectus hasseltii Thorell 1870 (Araneae: Theridiidae): current and potential distributions, and likely impacts"
312,417-425 C Foundation for Environmental Conservation
313,Abandoned fields and high plant diversity support high spider diversity within an agricultural mosaic in a biodiversity hotspot
314,Tourism and conservation in Madagascar: The importance of Andasibe National Park
315,"Contrasting patterns and drivers in taxonomic versus functional diversity, and community assembly of aquatic plants in subtropical lakes"
316,"Long-term stability of the hawkmoth fauna (Lepidoptera, Sphingidae) in a protected area of Brazilian Atlantic Rain Forest"
317,Habitat type drives the distribution of non-indigenous species in fouling communities regardless of associated maritime traffic
318,Ecological design for urban waterfronts
319,Green roof plant species diversity improves ecosystem multifunctionality
320,
321,"Revista Mexicana de Biodiversidad Comparison of oribatid mites from agricultural soils with contrasting irrigation types in Hidalgo State, Mexico: a case study"
322,Temporal activity of rural free-ranging dogs: implications for the predator and prey species in the Brazilian Atlantic Forest Advancing research on alien species and biological invasions
323,Systematics and Biodiversity Research Article From Best to Pest: changing perspectives on the impact of exotic salmonids in the southern hemisphere
324,The challenge of biased evidence in conservation
325,Bee diversity in a fragmented landscape of the Mexican neotropic
326,"Use of Land Facets to Plan for Climate Change: Conserving the Arenas, Not the Actors"
327,Modeling the distribution of white spruce (Picea glauca) for Alaska with high accuracy: an open access role-model for predicting tree species in last remaining wilderness areas Federal Geographic Data Committee FIA Forest inventory and analysis GIS Geographic information system ICSU International Council for Science IDW Inverse distance weighting IPY International Polar Year NAD83 North American Datum of 1983 NBII National Biological Information Infrastructure NDVI Normalized difference vegetation index NSF National Science Foundation OA Open access OECD Organisation for Economic Collaboration and Development PRISM Parameter-elevation regressions on independent slopes model ROC Receiver operating characteristic SDM Species distribution models
328,The economics of restoration: looking back and leaping forward
329,Effect of deadwood management on saproxylic beetle richness in the floodplain forests of northern Italy: some measures for deadwood sustainable use
330,Haying and grazing effects on the butterfly communities of two Mediterranean-area grasslands
331,Biodiversity of ant species along a disturbance gradient in residential environments of Puerto Rico
332,Vegetation encroachment drives changes in the composition of butterfly assemblages and species loss in Mediterranean ecosystems
333,An ethnobiological assessment of Rumohra adiantiformis (samambaia-preta) extractivism in Southern Brazil
334,O P I N I O N A lesson unlearned? Underestimating tree cover in drylands biases global restoration maps
